,Desc
Snail1_EDTA_22_Nuc,EDTA
Snail1_Ice_10_Nuc,Ice
Snail1_NoBact_3_Nuc,NoBact
Snail1_Phago_16_Nuc,Phago
Snail2_EDTA_23_Nuc,EDTA
Snail2_Ice_11_Nuc,Ice
Snail2_NoBact_4_Nuc,NoBact
Snail2_Phago_17_Nuc,Phago
Snail3_EDTA_24_Nuc,EDTA
Snail3_Ice_12_Nuc,Ice
Snail3_NoBact_5_Nuc,NoBact
Snail3_Phago_18_Nuc,Phago
Snail4_EDTA_25_Nuc,EDTA
Snail4_Ice_13_Nuc,Ice
Snail4_NoBact_6_Nuc,NoBact
Snail4_Phago_19_Nuc,Phago
Snail5_EDTA_26_Nuc,EDTA
Snail5_Ice_14_Nuc,Ice
Snail5_NoBact_7_Nuc,NoBact
Snail5_Phago_20_Nuc,Phago
