"","MST-X","MST-Y"
"27439",7.05354649182751,-1.69175101081167
"27436",3.96063779544612,1.34279240495332
"27445",2.30677625005623,3.06711781943173
"27435",5.49876909620907,-0.261390233301459
"27426",2.99066957557763,3.64960668579441
"27427",0.817923598598514,3.67349111389651
"27440",8.20689382977488,-3.42538545500969
"27432",-1.96618946124801,4.71869407724468
"27433",2.61508977590638,4.7078396064191
"27428",10.1509405384732,-6.31124769217457
"27434",-0.871377138110312,4.30786364300582
"27442",1.72280123747486,2.42736856117424
"27443",3.13255070134278,7.33315136621059
"27438",2.92272331315312,6.1819824106205
"27431",7.51906154707649,-2.38597209460467
"27437",7.99792947100023,-1.24262419687177
"27441",9.15241223265695,-4.82204731953383
"27444",10.728478529914,-7.21311737254666
"27430",1.27922380863971,1.99012501204817
"27429",5.28669094854702,-0.647143291697574
