"","group","lib.size","norm.factors"
"Snail1_EDTA_22_Nuc","1",9600,1
"Snail1_Ice_10_Nuc","2",9511,1
"Snail1_NoBact_3_Nuc","3",9852,1
"Snail1_Phago_16_Nuc","4",9746,1
"Snail2_EDTA_23_Nuc","1",9680,1
"Snail2_Ice_11_Nuc","2",9230,1
"Snail2_NoBact_4_Nuc","3",9621,1
"Snail2_Phago_17_Nuc","4",9549,1
"Snail3_EDTA_24_Nuc","1",9068,1
"Snail3_Ice_12_Nuc","2",8742,1
"Snail3_NoBact_5_Nuc","3",8929,1
"Snail4_EDTA_25_Nuc","1",9886,1
"Snail4_Ice_13_Nuc","2",9367,1
"Snail4_NoBact_6_Nuc","3",9786,1
"Snail4_Phago_19_Nuc","4",9967,1
"Snail5_EDTA_26_Nuc","1",9727,1
"Snail5_Ice_14_Nuc","2",9691,1
"Snail5_NoBact_7_Nuc","3",9962,1
"Snail5_Phago_20_Nuc","4",9944,1
