"","Snail1_EDTA_22_Nuc","Snail1_Ice_10_Nuc","Snail1_NoBact_3_Nuc","Snail1_Phago_16_Nuc","Snail2_EDTA_23_Nuc","Snail2_Ice_11_Nuc","Snail2_NoBact_4_Nuc","Snail2_Phago_17_Nuc","Snail3_EDTA_24_Nuc","Snail3_Ice_12_Nuc","Snail3_NoBact_5_Nuc","Snail4_EDTA_25_Nuc","Snail4_Ice_13_Nuc","Snail4_NoBact_6_Nuc","Snail4_Phago_19_Nuc","Snail5_EDTA_26_Nuc","Snail5_Ice_14_Nuc","Snail5_NoBact_7_Nuc","Snail5_Phago_20_Nuc"
"27426",224,1031,1220,669,393,1155,1684,845,365,799,996,325,1114,1262,891,329,832,1084,715
"27427",238,1237,1250,952,274,926,1212,728,267,1269,1334,195,527,507,533,334,978,1074,859
"27428",74,76,307,148,83,105,140,169,236,279,378,71,183,404,202,152,270,360,249
"27429",3,13,2,4,3,13,0,12,12,27,4,3,16,2,11,3,4,0,6
"27430",8,111,38,64,5,115,88,95,6,2,19,1,26,11,30,4,4,20,39
"27431",46,164,2,303,36,143,5,228,111,101,11,32,313,12,320,94,192,13,206
"27432",334,840,332,757,253,693,328,642,225,922,550,239,466,242,443,349,878,481,743
"27433",99,162,123,174,116,236,123,254,184,432,387,119,301,250,196,83,317,313,308
"27434",31,276,542,227,46,220,302,128,38,251,429,24,93,138,79,43,169,316,130
"27435",2147,696,102,955,2015,679,133,1172,1568,520,155,2111,665,187,1061,1793,555,111,853
"27436",3819,704,138,786,3487,526,130,694,2591,722,256,3763,652,227,669,3519,822,242,869
"27437",19,116,140,58,23,176,228,108,17,107,172,27,173,175,144,38,102,142,74
"27438",35,160,138,123,43,172,107,108,47,154,178,57,210,306,97,70,183,201,131
"27439",694,2386,2866,2673,686,2456,2592,2543,975,1425,1812,713,2742,3487,3022,832,2150,2863,2476
"27440",353,403,1113,496,658,502,1062,619,890,392,547,441,732,1162,918,488,616,967,658
"27441",9,35,159,64,18,48,87,66,77,99,158,13,81,207,123,27,141,185,126
"27442",41,69,344,391,36,95,359,320,28,42,97,25,49,137,305,57,26,200,328
"27443",228,179,33,207,195,134,14,103,68,120,63,342,188,64,115,208,187,44,161
"27444",21,21,105,61,14,41,59,63,81,161,206,25,55,127,69,41,117,129,97
"27445",1177,832,898,634,1296,795,968,652,1282,918,1177,1360,781,879,739,1263,1148,1217,916
